365440362	14402	memory/neg/id:000000
1908843731	80	memory/neg/id:000001
1849636480	1	memory/neg/id:000002
2804627290	1	memory/pos/id:000000
4079063729	1	memory/neg/id:000003
807882434	1	memory/neg/id:000004
1802790899	1	memory/neg/id:000005
1983294791	1	memory/neg/id:000006
2589339503	1	memory/neg/id:000007
4105146284	1	memory/neg/id:000008
3332740874	1	memory/pos/id:000001
2052024140	1	memory/pos/id:000002
3840815946	1	memory/pos/id:000003
3989526537	1	memory/pos/id:000004
3819655314	1	memory/pos/id:000005
1627491936	1	memory/neg/id:000009
2182472699	1	memory/pos/id:000006
